,rated,turns,victory_status,winner,increment_code,white_rating,black_rating,moves,opening_eco,opening_name,opening_ply,EstDur,Event,RatingDiff
10164,False,23,resign,white,10+0,1886,1590,c4 Nf6 Nc3 e6 d4 Bb4 e3 O-O Nf3 c5 Bd3 Qa5 Bd2 Nc6 a3 Bxc3 Bxc3 Qb6 dxc5 Qd8 Bc2 d5 cxd6,E50,Nimzo-Indian Defense: Normal Variation |  Huebner Deferred,10,600,Rapid,296
15917,True,108,mate,black,10+0,1886,1864,d4 Nf6 Nc3 e6 e4 d5 e5 Nfd7 f4 c5 Nf3 cxd4 Nxd4 Nc6 Nxc6 bxc6 Bd3 Qh4+ g3 Qh3 Qf3 f6 Bd2 fxe5 Bf1 Qf5 g4 Qxc2 f5 exf5 gxf5 Nf6 Rc1 Qxb2 Bh3 Bb4 Qe3 Ne4 Nxe4 dxe4 Rxc6 Bxd2+ Qxd2 Qxd2+ Kxd2 O-O Rf1 g6 Rc7 Bxf5 Bg2 Rad8+ Kc1 e3 Re1 Rd3 Bf1 Ra3 Bc4+ Kh8 Rxe3 Rxe3 Kd2 Rh3 Rxa7 Rxh2+ Kc3 Rc8 Ra4 Be6 a3 Bxc4 Rxc4 Rxc4+ Kxc4 Ra2 Kb4 Rxa3 Kxa3 Kg7 Kb3 Kf6 Kc3 Kf5 Kd3 Kf4 Ke2 e4 Kf2 h5 Kg2 g5 Kf2 e3+ Kg2 g4 Kf1 Kf3 Kg1 e2 Kh2 h4 Kg1 e1=Q+ Kh2 Qe2+ Kh1 Qg2#,C11,French Defense: Steinitz Variation #2,11,600,Rapid,22
16581,True,48,resign,black,10+0,1873,1913,e4 e5 Nf3 f5 d3 Nf6 exf5 Nc6 Bg5 d5 Nc3 Be7 Be2 Bxf5 d4 e4 Ne5 Qd6 Nb5 Qd8 c4 a6 cxd5 Nxe5 dxe5 Nxd5 Bxe7 Qxe7 Qxd5 Rd8 Qxb7 Qb4+ Kf1 O-O a3 Qxb2 Re1 Rd2 Qxc7 Bg4 f3 exf3 Qc4+ Kh8 Qxg4 fxe2+ Kg1 Rd1,C40,Latvian Gambit,4,600,Rapid,-40
18640,False,8,outoftime,black,20+15,1586,2481,e4 e5 Nf3 Nc6 Bc4 Bc5 O-O Nf6,C50,Giuoco Piano,6,1800,Classical,-895
11820,True,64,mate,black,10+0,1610,1635,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e6 Bc4 Be7 Qf3 Qc7 Bb3 O-O O-O-O Nc6 Nxc6 Qxc6 h4 a5 Ba4 Qc7 Nb5 Qc4 Rd4 Qxa2 Nc3 Qa1+ Nb1 d5 e5 Bc5 Rf4 Ne4 h5 Nxg5 Qg3 Ne4 Qg4 Qxa4 h6 g6 Qh4 g5 Qg4 Kh8 Rh5 Qb4 b3 Qe1+ Kb2 Bd4+ Ka2 Nc3+ Kb2 Qd1 Qxg5 Qxb1+ Ka3 Qa2#,B95,Sicilian Defense: Najdorf Variation,12,600,Rapid,-25
8865,True,52,mate,black,10+0,1850,1905,Nf3 Nf6 d4 e6 e3 b6 Nc3 Bb7 b3 Bb4 Bb2 Ne4 Bd3 Bxc3+ Bxc3 Nxc3 Qd2 Ne4 Bxe4 Bxe4 Ne5 d6 f3 dxe5 fxe4 exd4 exd4 Nc6 c3 Qh4+ g3 Qxe4+ Kd1 Qxh1+ Kc2 Qxa1 Kd3 Qf1+ Qe2 Qxe2+ Kxe2 e5 Kd1 exd4 Kc1 dxc3 Kb1 Rd8 Ka1 Nb4 h4 Rd1#,A46,Yusupov-Rubinstein System,5,600,Rapid,-55
1189,True,57,mate,white,20+0,1547,1564,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 Bxd5 Qxd5 Nf3 Bg4 Nc3 Bxf3 Nxd5 Bxd1 Nxc7+ Kd8 Nxa8 Bxc2 f4 exf4 d3 Bxd3 Bxf4 Bg6 O-O-O+ Kc8 Nc7 Bc5 Nd5 Nd4 Rhe1 Nc2 Ne7+ Bxe7 Rxe7 Nb4 Rc7+ Kb8 Rc4+ Ka8 Rxb4 Rc8+ Kd2 Rc2+ Ke1 a6 Rd8+ Ka7 Bb8+ Ka8 Bc7+ Ka7 Bb6#,C57,Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation,8,1200,Rapid,-17
1618,True,56,mate,black,10+0,2030,2164,e4 c5 c4 e5 Nc3 g5 d3 h5 Nf3 f6 h3 Nc6 g3 d6 Bg2 Nd4 Nxd4 cxd4 Nd5 Be6 g4 hxg4 hxg4 Rxh1+ Bxh1 Qd7 Bf3 O-O-O Be2 Kb8 f3 Qh7 Kd2 Bxd5 cxd5 Rc8 a4 Qh2 b4 Be7 b5 Bd8 a5 Ne7 Qb3 Ng6 Ba3 Bxa5+ Bb4 Nf4 Re1 Qf2 Bxa5 Qe3+ Kd1 Rc1#,B20,Sicilian Defense: Staunton-Cochrane Variation,3,600,Rapid,-134
11802,True,54,resign,black,10+0,2049,2088,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e5 Nb3 Be7 Be2 Be6 Bxf6 Bxf6 Nd5 Bxd5 Qxd5 Nc6 O-O O-O Rad1 Be7 Bg4 Rb8 f4 Nb4 Qc4 a5 fxe5 b5 Qe2 Qc7 exd6 Bxd6 h3 Nxc2 Rc1 Qb6+ Kh1 Nd4 Nxd4 Qxd4 Qf2 Qe5 g3 Qxg3 Qxg3 Bxg3 Rc7 Bxc7,B94,Sicilian Defense: Najdorf Variation,11,600,Rapid,-39
11339,True,63,resign,white,10+5,1372,1393,d4 d5 c4 c6 Nf3 h6 Nc3 e6 Bf4 Bb4 e3 Bxc3+ bxc3 Nf6 Be2 Ne4 Qc2 Nd7 Nd2 Qh4 Nxe4 dxe4 Qxe4 Nf6 Qd3 O-O c5 Nd5 Bd6 Re8 Rb1 a6 c4 Nf6 Bf3 Nd7 Qe2 Qd8 O-O Qa5 Rfd1 Rb8 e4 b6 Qd2 Qxd2 Rxd2 Ra8 e5 bxc5 Bxc6 cxd4 Bxa8 Nf8 Rb8 Bd7 Rxd4 Rxb8 Bxb8 Ba4 Rd8 Bc2 Bd6,D11,Slav Defense: Modern Line,5,800,Rapid,-21
